,loan_column1,id,user_id,loan_timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id,name,ssn,birthday,gender,city,zip_code,visit_column1,visit_id,visit_timestamp,referrer,campaign_name
0,12,9546870,33593540,1509162149,80000,Buying a pet,ACCEPTED,8.7,0,Δράκων-Δαμιανός Μητρίδης,826-19-7609,1983-05-06,M,Λαμία,37988,0,0,0,,
1,28,36469880,41352735,1508888134,270000,Refinance existing loans,REJECTED,6.7,72572646,Κομνηνή Βρακά,388-36-2125,1984-10-13,F,Σπάρτη,445 32,27,72572646,1537462173,Google,display2
2,99,22554526,70055796,1507064389,240000,Home purchase,ACCEPTED,7.0,54404642,Ελπίς-Λυδία Παυλίδου,506-77-6759,1984-07-14,F,Λιβαδιά,717 45,65,54404642,1537696530,Twitter,display3
3,117,27906548,17577009,1508660627,190000,Buying a pet,REJECTED,14.0,0,Αλκμήνη Ματεντσίδου,053-49-2562,1973-02-25,F,Καβάλα,ΤΚ 87994,0,0,0,,
4,121,46601919,15988868,1508586823,20000,Home purchase,REJECTED,14.0,0,Ροδαμάνθη Βαλσαμίδου,290-09-9322,1983-11-06,M,Γρεβενά,ΤΚ 377 48,0,0,0,,
5,186,41957289,46805538,1508273362,300000,Refinance existing loans,REJECTED,7.0,0,Μελέτιος-Αύγουστος Μηλιώρης,094-52-0699,1990-05-09,M,Λαμία,ΤΚ 933 20,0,0,0,,
6,206,99355109,76460475,1508359972,260000,Refinance existing loans,REJECTED,8.7,0,Νικηφόρος Δραζιώτης,723-09-3833,1972-03-03,F,Κέρκυρα,05247,0,0,0,,
7,211,644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202,130,72004328,1514645526,Google,display3
8,211,644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202,131,72004328,1556476446,Twitter,display3
9,211,644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202,132,72004328,1532953984,Google,display1
10,211,644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202,133,72004328,1542110846,Facebook,display1
11,213,36909730,85885340,1507181154,190000,Refinance existing loans,REJECTED,14.0,0,Φώτιος Κωστάκης,730-03-0522,1996-04-12,M,Καβάλα,89403,0,0,0,,
